,Ulugöl Tabiat Parkı - Ordu_temp,Ulugöl Tabiat Parkı - Ordu_prcp,Ulugöl Tabiat Parkı - Ordu_snow,Ulugöl Tabiat Parkı - Ordu_rain,Ulugöl Tabiat Parkı - Ordu_tmin,Ulugöl Tabiat Parkı - Ordu_tmax,Ulugöl Tabiat Parkı - Ordu_wspd,Ulugöl Tabiat Parkı - Ordu_rhum
2023-06-17,16.01,0.39,0.0,0.39,9.11,21.85,10.18,73.0
2023-06-18,14.21,8.27,0.0,8.27,11.17,17.73,9.84,84.9
2023-06-19,13.97,1.86,0.0,1.86,10.35,18.16,8.61,87.26
2023-06-20,13.54,4.44,0.0,4.44,11.43,16.86,13.96,85.75
2023-06-21,13.06,3.67,0.0,3.67,10.07,16.48,15.76,83.51
2023-06-22,13.32,6.43,0.0,6.43,8.9,17.0,17.49,78.89
2023-06-23,13.86,1.78,0.0,1.78,10.07,18.11,18.82,73.15
2023-06-24,14.96,2.46,0.0,2.46,7.99,21.86,9.44,71.89
2023-06-25,16.49,0.0,0.0,0.0,9.06,22.08,7.88,75.13
2023-06-26,16.29,0.0,0.0,0.0,10.52,22.43,7.97,74.64
2023-06-27,15.58,0.19,0.0,0.19,10.74,19.99,12.53,74.54
2023-06-28,16.22,0.0,0.0,0.0,11.57,21.67,8.29,73.87
2023-06-29,16.38,1.61,0.0,1.61,11.39,22.2,10.04,73.0
2023-06-30,13.58,5.83,0.0,5.83,9.8,17.24,14.69,80.04
2023-07-01,13.62,0.0,0.0,0.0,7.0,19.75,9.47,67.08
2023-07-02,15.93,0.0,0.0,0.0,7.15,22.16,9.11,65.59
2023-07-03,17.87,0.0,0.0,0.0,9.96,24.78,8.84,58.57
2023-07-04,19.21,0.0,0.0,0.0,12.09,23.28,10.91,65.49
2023-07-05,17.59,0.0,0.0,0.0,11.21,23.59,9.76,62.6
2023-07-06,18.31,0.0,0.0,0.0,11.33,24.61,8.05,67.26
2023-07-07,19.11,0.15,0.0,0.15,14.26,22.5,11.16,75.84
2023-07-08,17.42,8.03,0.0,8.03,12.76,22.43,12.4,77.02
2023-07-09,14.91,13.47,0.0,13.47,13.07,18.21,13.13,85.79
2023-07-10,13.02,12.23,0.0,12.23,9.89,15.26,20.28,88.36
2023-07-11,13.28,1.36,0.0,1.36,8.45,18.39,13.89,71.2
2023-07-12,16.31,0.0,0.0,0.0,7.81,21.91,10.9,63.66
2023-07-13,17.93,0.0,0.0,0.0,10.67,22.52,10.67,68.23
2023-07-14,17.94,0.0,0.0,0.0,10.16,23.65,11.2,63.24
2023-07-15,18.09,0.08,0.0,0.08,11.38,22.44,13.43,63.26
2023-07-16,16.29,4.55,0.0,4.55,12.11,20.06,15.87,76.9
2023-07-17,15.8,0.88,0.0,0.88,9.73,20.11,14.84,66.29
2023-07-18,14.28,0.0,0.0,0.0,7.19,20.88,11.66,64.06
2023-07-19,16.14,0.0,0.0,0.0,8.48,21.44,11.46,71.64
2023-07-20,18.2,0.0,0.0,0.0,9.14,24.7,9.32,65.98
2023-07-21,17.36,0.0,0.0,0.0,10.93,23.62,10.68,64.95
2023-07-22,18.77,0.0,0.0,0.0,11.9,23.51,10.78,64.65
2023-07-23,18.84,0.0,0.0,0.0,11.88,24.44,12.39,63.05
2023-07-24,16.53,5.67,0.0,5.67,12.62,20.89,16.01,71.98
2023-07-25,15.88,0.57,0.0,0.57,11.82,20.6,15.31,73.18
2023-07-26,18.25,0.0,0.0,0.0,9.52,24.52,9.58,68.54
2023-07-27,22.06,0.0,0.0,0.0,12.23,29.18,9.38,59.29
2023-07-28,17.84,1.85,0.0,1.85,13.38,22.02,18.6,62.91
2023-07-29,15.41,0.42,0.0,0.42,9.26,21.52,11.86,67.26
2023-07-30,15.58,1.08,0.0,1.08,11.04,19.9,11.54,72.92
2023-07-31,15.72,0.08,0.0,0.08,9.81,22.3,9.09,71.36
