,Erfelek Tatlıca Şelaleleri - Sinop_temp,Erfelek Tatlıca Şelaleleri - Sinop_prcp,Erfelek Tatlıca Şelaleleri - Sinop_snow,Erfelek Tatlıca Şelaleleri - Sinop_rain,Erfelek Tatlıca Şelaleleri - Sinop_tmin,Erfelek Tatlıca Şelaleleri - Sinop_tmax,Erfelek Tatlıca Şelaleleri - Sinop_wspd,Erfelek Tatlıca Şelaleleri - Sinop_rhum
2022-10-10,15.83,4.49,0.0,4.49,13.13,18.04,25.95,75.92
2022-10-11,14.02,0.1,0.0,0.1,10.87,16.59,7.71,69.48
2022-10-12,14.42,0.42,0.0,0.42,10.61,17.11,10.77,77.13
2022-10-13,14.75,0.05,0.0,0.05,12.12,16.8,9.11,68.46
2022-10-14,13.49,0.0,0.0,0.0,8.68,16.49,7.53,72.46
2022-10-15,14.3,0.0,0.0,0.0,11.62,17.29,7.09,75.03
2022-10-16,13.97,2.13,0.0,2.13,12.43,15.83,6.01,86.04
2022-10-17,13.91,8.15,0.0,8.15,12.26,15.4,8.42,87.75
2022-10-18,14.1,0.51,0.0,0.51,12.29,16.08,7.43,84.51
2022-10-19,13.68,0.52,0.0,0.52,12.15,15.75,9.75,86.81
2022-10-20,12.03,5.02,0.0,5.02,9.58,14.33,19.89,83.32
2022-10-21,9.25,2.93,0.0,2.93,7.04,11.99,12.55,74.83
2022-10-22,10.34,0.11,0.0,0.11,4.18,14.06,12.63,73.6
2022-10-23,12.72,0.0,0.0,0.0,6.07,17.71,9.78,61.02
2022-10-24,13.04,0.92,0.0,0.92,9.61,16.0,14.47,84.32
2022-10-25,12.71,0.0,0.0,0.0,9.39,15.78,11.59,82.03
2022-10-26,13.68,0.03,0.0,0.03,7.36,19.18,13.37,79.05
2022-10-27,13.1,1.29,0.0,1.29,11.15,15.9,15.86,84.37
2022-10-28,11.58,0.86,0.0,0.86,8.0,15.0,10.23,81.83
2022-10-29,10.66,0.0,0.0,0.0,5.79,14.31,9.67,77.83
2022-10-30,10.84,0.0,0.0,0.0,6.87,14.66,9.33,77.77
2022-10-31,12.04,1.79,0.0,1.79,7.77,14.94,16.89,83.39
2022-11-01,10.7,1.6,0.0,1.6,7.03,13.21,11.76,74.37
2022-11-02,9.41,0.0,0.0,0.0,4.05,13.74,7.25,76.72
2022-11-03,12.31,1.52,0.0,1.52,8.15,14.37,17.62,77.71
2022-11-04,11.6,1.28,0.0,1.28,8.57,15.06,10.62,77.66
