time,Abant Gölü Tabiat Parkı - Bolu_temp,Abant Gölü Tabiat Parkı - Bolu_prcp,Abant Gölü Tabiat Parkı - Bolu_snow,Abant Gölü Tabiat Parkı - Bolu_rain,Abant Gölü Tabiat Parkı - Bolu_tmin,Abant Gölü Tabiat Parkı - Bolu_tmax,Abant Gölü Tabiat Parkı - Bolu_wspd,Abant Gölü Tabiat Parkı - Bolu_rhum
2024-08-26,19.46,0.0,0.0,0.0,9.58,25.05,5.83,69.17
2024-08-27,19.39,0.05,0.0,0.05,10.82,24.25,6.12,72.11
2024-08-28,19.22,0.0,0.0,0.0,11.6,24.7,5.83,68.85
2024-08-29,19.07,0.0,0.0,0.0,10.09,24.56,5.6,69.47
2024-08-30,19.34,0.0,0.0,0.0,10.35,24.49,5.89,70.85
2024-08-31,18.75,0.0,0.0,0.0,11.36,25.35,5.05,72.82
2024-09-01,17.26,0.47,0.0,0.47,12.42,22.58,4.57,74.84
2024-09-02,16.24,2.11,0.0,2.11,11.9,21.91,4.6,75.45
2024-09-03,17.95,0.47,0.0,0.47,11.39,23.56,4.1,74.96
2024-09-04,18.02,1.65,0.0,1.65,10.85,23.66,4.17,72.11
2024-09-05,17.48,0.18,0.0,0.18,10.16,23.57,5.08,67.06
2024-09-06,16.85,0.0,0.0,0.0,7.11,24.1,5.1,66.41
2024-09-07,16.39,4.75,0.0,4.75,10.27,22.73,5.2,72.64
2024-09-08,15.25,2.69,0.0,2.69,10.67,20.62,5.8,77.81
2024-09-09,16.74,0.47,0.0,0.47,9.16,23.0,4.66,73.24
2024-09-10,18.7,0.11,0.0,0.11,8.6,27.54,4.49,67.41
2024-09-11,19.22,2.73,0.0,2.73,10.34,26.5,4.15,65.53
2024-09-12,18.59,0.07,0.0,0.07,10.75,25.02,4.92,68.11
2024-09-13,16.91,0.0,0.0,0.0,9.47,26.19,4.8,62.34
2024-09-14,18.77,0.0,0.0,0.0,9.42,26.77,4.51,58.05
2024-09-15,17.81,2.31,0.0,2.31,12.15,25.45,6.51,67.29
2024-09-16,15.77,0.09,0.0,0.09,7.88,22.12,5.92,68.71
2024-09-17,14.93,0.16,0.0,0.16,7.04,21.09,5.69,70.34
2024-09-18,14.97,0.05,0.0,0.05,8.02,20.32,5.09,72.34
2024-09-19,13.97,1.75,0.0,1.75,8.85,17.85,4.74,73.76
2024-09-20,13.74,1.12,0.0,1.12,6.84,19.69,4.93,75.34
2024-09-21,12.05,2.23,0.0,2.23,8.05,17.2,4.86,79.75
2024-09-22,11.07,0.46,0.0,0.46,5.91,16.05,4.53,76.28
2024-09-23,10.49,2.2,0.0,2.2,7.45,12.57,6.23,84.63
2024-09-24,13.05,0.28,0.0,0.28,5.6,20.57,3.98,75.23
2024-09-25,14.27,0.02,0.0,0.02,4.92,22.31,3.94,72.76
2024-09-26,13.33,0.0,0.0,0.0,4.65,22.93,4.17,72.29
2024-09-27,16.42,0.0,0.0,0.0,5.03,25.31,3.97,70.36
2024-09-28,17.55,0.0,0.0,0.0,5.35,26.6,3.4,66.6
2024-09-29,17.07,0.0,0.0,0.0,6.84,25.46,3.53,67.72
2024-09-30,8.91,15.54,0.0,15.54,5.85,11.09,6.74,88.63
2024-10-01,6.62,16.4,0.0,16.4,4.51,8.21,9.8,81.82
2024-10-02,8.97,9.52,0.0,9.52,4.8,11.97,7.15,83.23
2024-10-03,11.95,0.18,0.0,0.18,3.09,20.42,3.38,78.59
2024-10-04,14.56,0.0,0.0,0.0,3.6,24.39,2.9,70.64
2024-10-05,16.88,0.0,0.0,0.0,5.59,26.63,2.88,68.87
2024-10-06,16.0,1.42,0.0,1.42,6.28,23.96,3.48,72.29
2024-10-07,13.12,2.61,0.0,2.61,7.97,17.72,4.85,80.35
2024-10-08,13.0,0.41,0.0,0.41,7.29,19.93,4.62,76.52
2024-10-09,14.03,0.0,0.0,0.0,3.27,23.84,3.85,74.77
2024-10-10,14.01,0.0,0.0,0.0,5.94,20.83,3.48,71.59
2024-10-11,14.38,0.0,0.0,0.0,5.29,22.92,3.29,70.4
2024-10-12,12.49,3.32,0.0,3.32,7.55,19.72,4.46,79.16
2024-10-13,10.53,5.4,0.0,5.4,8.29,13.39,5.12,86.63
2024-10-14,9.97,0.0,0.0,0.0,5.9,14.71,3.34,79.29
2024-10-15,10.05,0.0,0.0,0.0,2.84,16.93,4.2,77.35
2024-10-16,8.7,1.76,0.0,1.76,1.29,14.16,4.24,80.41
2024-10-17,4.09,5.14,0.0,5.14,1.46,6.78,5.9,84.99
2024-10-18,3.37,6.01,0.0,6.01,0.73,6.99,4.88,85.04
2024-10-19,3.51,3.99,0.0,3.99,-0.54,7.9,4.49,82.22
2024-10-20,4.04,0.25,0.0,0.25,-1.62,8.72,3.86,80.81
2024-10-21,4.74,0.29,0.0,0.29,0.21,8.56,3.45,78.58
2024-10-22,5.62,0.31,0.0,0.31,2.14,9.46,3.09,82.28
2024-10-23,6.29,0.0,0.0,0.0,-0.47,13.43,3.36,80.35
2024-10-24,5.82,0.0,0.0,0.0,-0.34,11.29,3.56,82.7
2024-10-25,6.25,0.05,0.0,0.05,-0.58,12.18,4.38,79.59
2024-10-26,6.38,0.0,0.0,0.0,0.12,12.6,3.97,77.3
2024-10-27,5.91,0.0,0.0,0.0,-4.13,15.04,2.88,75.42
2024-10-28,6.12,0.0,0.0,0.0,-3.16,14.58,2.63,75.83
2024-10-29,6.17,0.0,0.0,0.0,-3.46,13.5,2.82,76.6
2024-10-30,6.61,2.87,0.0,2.87,4.84,8.6,3.12,86.59
2024-10-31,7.12,1.27,0.0,1.27,4.3,10.86,3.84,83.29
2024-11-01,6.17,0.0,0.0,0.0,-0.25,12.52,3.57,80.35
2024-11-02,6.62,0.0,0.0,0.0,-1.53,15.85,3.09,77.53
2024-11-03,2.96,1.25,0.0,1.25,-0.76,6.49,5.96,79.93
2024-11-04,0.5,0.0,0.0,0.0,-4.85,7.14,3.75,71.92
2024-11-05,1.11,0.0,0.0,0.0,-3.52,4.98,4.19,78.92
2024-11-06,-0.29,0.0,0.0,0.0,-5.57,7.3,4.37,78.09
2024-11-07,1.5,0.0,0.0,0.0,-6.24,9.53,3.96,76.81
2024-11-08,1.27,0.0,0.0,0.0,-5.78,11.09,3.81,78.17
2024-11-09,1.63,0.0,0.0,0.0,-5.31,10.5,4.22,80.71
2024-11-10,1.68,0.04,0.04,0.0,-5.07,9.93,3.83,77.82
2024-11-11,2.91,0.29,0.0,0.29,0.18,7.05,2.57,83.87
2024-11-12,3.54,0.0,0.0,0.0,-1.99,11.44,4.0,84.71
